index_symbol,index_name,currency,exchange_code,provider_guess,market_scope_guess,category_group,category,summary,stock_index_scope,source_dataset,source_url
00ZF.Z,STX GLB. 3D PRINT. GR EO,,ZRH,Unclassified / multiple providers,Global,Equities,Technology,"The STOXX Global 3D Printing Gross Return EUR Index tracks the performance of companies worldwide that are active in the 3D printing industry. It represents the gross return of these companies, including dividends before the deduction of withholding taxes. The index serves as a benchmark for investment in the 3D printing sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
00ZG.Z,STX GLB. 3D PRINT. PR DL,,ZRH,Unclassified / multiple providers,Global,Equities,Technology,"The STOXX Global 3D Printing Price USD Index tracks the performance of companies worldwide that are active in the 3D printing industry. It represents the price return of these companies, without including dividend payments, and is denominated in USD. The index serves as a benchmark for investment in the 3D printing sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
00ZH.Z,STX GLB. 3D PRINT. NR DL,,ZRH,Unclassified / multiple providers,Global,Equities,Technology,"The STOXX Global 3D Printing Net Return USD Index tracks the performance of companies worldwide that are active in the 3D printing industry. It represents the net return of these companies, including dividends after the deduction of withholding taxes, and is denominated in USD. The index serves as a benchmark for investment in the 3D printing sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
00ZJ.Z,STX GLB. 3D PRINT. GR DL,,ZRH,Unclassified / multiple providers,Global,Equities,Technology,"The STOXX Global 3D Printing Gross Return USD Index tracks the performance of companies worldwide that are active in the 3D printing industry. It represents the gross return of these companies, including dividends before the deduction of withholding taxes, and is denominated in USD. The index serves as a benchmark for investment in the 3D printing sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A0.Z,I.M.G.E.J.Q.150 M.H.NR YN,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A1.Z,I.M.G.E.J.Q.150 M.H.GR YN,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A2.Z,S.G.ESG L.S.50 RC10 TR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A3.Z,"EISTX 50 L.CAR.NR D.3,75",,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A5.Z,EISTX 50 H.D.35 ER PR SW,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A7.Z,STX GLB.1800 DLY HE.GR EO,,ZRH,Unclassified / multiple providers,Global,Equities,Equities,"The STOXX Global 1800 Daily Hedged Gross Return EUR Index aims to hedge the currency exposure of the STOXX Global 1800 Index on a daily basis. It represents the gross return, including dividends, before deduction of withholding taxes, for the global equity market. The index provides exposure to global equities while mitigating currency risk for EUR investors.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A8.Z,STX GLB.1800 DLY HE.NR EO,,ZRH,Unclassified / multiple providers,Global,Equities,Equities,"The STOXX Global 1800 Daily Hedged Net Return EUR Index aims to hedge the currency exposure of the STOXX Global 1800 Index on a daily basis. It represents the net return, including dividends after deduction of withholding taxes, for the global equity market. The index provides exposure to global equities while mitigating currency risk for EUR investors.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01A9.Z,STX GLB.1800 DLY HE.PR EO,,ZRH,Unclassified / multiple providers,Global,Equities,Equities,"The STOXX Global 1800 Daily Hedged Price Return EUR Index aims to hedge the currency exposure of the STOXX Global 1800 Index on a daily basis. It represents the price return of the global equity market, excluding dividends. The index provides exposure to global equities while mitigating currency risk for EUR investors.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AA.Z,EISTX50 ER 1.2 MO.L.PR SW,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AB.Z,IS.TR.ESG 100 EQ.WE.GR.EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AC.Z,IS.TR.ESG 100 E.W.D.PR.EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AD.Z,EISTX ESG CH.50 EW.N.DE.4,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AE.Z,EISTX.EQ.I.ESG 30 NR.DE.4,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AF.Z,EISTX.EQ.I.ESG 30 NR.DE.5,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AG.Z,EISTX.50.CA.AD.GR DE.5 EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AM.Z,ISTX MGE AQL150M.H.PR AD,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AN.Z,ISTX MGE AQL150M.H.NR AD,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AP.Z,ISTX MGE AQL150M.H.GR AD,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AQ.Z,"IS.G.T.S.30 N.D.4,5 PREO",,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AR.Z,EISTX S.D.30F.R.D.5 PR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AS.Z,IST.G.S.D.100F.R.D5 PR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AT.Z,EI.50 N.DE.120 SW H.TR SW,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AU.Z,EISTX 50 NR DEC.120 TR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01AY.Z,STX GL.AUT.+ROB TTM GR YN,,ZRH,Unclassified / multiple providers,Global,Equities,Technology,The index tracks the performance of companies that are leaders in the automation and robotics industry. It considers factors like innovation and growth potential within the global market. The index is gross return and denominated in YN.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E0.Z,ESTX IND.GOODS+SER.GR EUR,,ZRH,Unclassified / multiple providers,Europe,Industrials,Industrials,"The EURO STOXX Industrial Goods & Services Gross Return EUR Index tracks the performance of companies in the industrial goods and services sector within the Eurozone. It represents the gross return, including dividends, before deduction of withholding taxes, for this specific industry. The index serves as a benchmark for investment in the Eurozone industrial sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E1.Z,STXE L.200 RC 10 RV NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E2.Z,STXE L.200 RC 15 RV NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E3.Z,STXE L.200 RC 20 RV NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E4.Z,STXE LG.200 RC 5 RV NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E5.Z,STXE600 O+G DL.3 SH.GR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Energy,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E6.Z,STXE600 O+G D.3.LEV.NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Energy,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E7.Z,STXE600 IG.+S.D.2 L.NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E8.Z,STX GL.3D PRI.PU.PL.PR EO,,ZRH,Unclassified / multiple providers,Global,Equities,Technology,"The STX GL.3D PRI.PU.PL.PR EO index tracks the performance of a global equity portfolio using a specific investment strategy potentially related to price, momentum, or other factors, and is priced in EUR. It is a price return index, meaning it does not account for dividend payments. The index uses a proprietary methodology.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01E9.Z,STX GL.3D PRI.PU.PL.NR EO,,ZRH,Unclassified / multiple providers,Global,Equities,Technology,"The STX GL.3D PRI.PU.PL.NR EO index tracks the performance of a global equity portfolio using a specific investment strategy potentially related to price, momentum, or other factors, and is priced in EUR. It is a net return index, meaning it accounts for dividend payments after the deduction of withholding taxes. The index uses a proprietary methodology.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01EJ.Z,ESTX CONST.+MAT. GR EUR,,ZRH,Unclassified / multiple providers,Europe,Materials,Materials,"The EURO STOXX Construction & Materials Gross Return EUR Index tracks the performance of companies in the construction and materials sector within the Eurozone. It represents the gross return, including dividends, before deduction of withholding taxes, for this specific industry. The index serves as a benchmark for investment in the Eurozone construction and materials sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01EK.Z,ESTX FIN.SERVICES GR EUR,,ZRH,Unclassified / multiple providers,Europe,Financials,Financials,"The EURO STOXX Financial Services Gross Return EUR Index tracks the performance of companies in the financial services sector within the Eurozone. It represents the gross return, including dividends, before deduction of withholding taxes, for this specific industry. The index serves as a benchmark for investment in the Eurozone financial services sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01EL.Z,ESTX FOOD + BEV. GR EUR,,ZRH,Unclassified / multiple providers,Europe,Consumer Staples,Consumer Staples,"The EURO STOXX Food & Beverage Gross Return EUR Index tracks the performance of companies in the food and beverage sector within the Eurozone. It represents the gross return, including dividends, before deduction of withholding taxes, for this specific industry. The index serves as a benchmark for investment in the Eurozone food and beverage sector.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01EY.Z,ESTX 50 BUYWRITE100 PR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Derivatives,The ESTX 50 BUYWRITE100 PR EO Index tracks the performance of a buy-write strategy on the Euro Stoxx 50 Index. The strategy involves holding the underlying stocks of the Euro Stoxx 50 and selling covered call options on the index. The index is price return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01EZ.Z,ESTX 50 BUYWRITE100 NR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Derivatives,The ESTX 50 BUYWRITE100 NR EO Index tracks the performance of a buy-write strategy on the Euro Stoxx 50 Index. The strategy involves holding the underlying stocks of the Euro Stoxx 50 and selling covered call options on the index. The index is net return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GA.Z,ST ESG L.F.F.G.E.EZ NR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Factors,"The ST ESG L.F.F.G.E.EZ NR DL index tracks the performance of companies exhibiting certain Environmental, Social, and Governance (ESG) characteristics, and incorporates factors related to labour, fair business practices, governance, environmental concerns, and ease of doing business. It is a net return index, meaning it accounts for dividend payments after the deduction of withholding taxes, and is denominated in dollars. The index uses a proprietary methodology.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GB.Z,ST ESG L.F.F.G.E.EZ GR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Factors,"The ST ESG L.F.F.G.E.EZ GR DL index tracks the performance of companies exhibiting certain Environmental, Social, and Governance (ESG) characteristics, and incorporates factors related to labour, fair business practices, governance, environmental concerns, and ease of doing business. It is a gross return index, meaning it accounts for dividend payments without deducting withholding taxes, and is denominated in dollars. The index uses a proprietary methodology.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GC.Z,EISTX EQ.IND.ESG 30 PR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The index is designed to represent equity indices with an environmental, social, and governance (ESG) profile. It consists of 30 stocks. The index is price return and denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GD.Z,EISTX EQ.IND.ESG 30 NR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The index is designed to represent equity indices with an environmental, social, and governance (ESG) profile. It consists of 30 stocks. The index is net return and denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GE.Z,EISTX EQ.IND.ESG 30 GR EO,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The index is designed to represent equity indices with an environmental, social, and governance (ESG) profile. It consists of 30 stocks. The index is gross return and denominated in EUR.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GF.Z,EISTX EQ.IND.ESG 30 PR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The index is designed to represent equity indices with an environmental, social, and governance (ESG) profile. It consists of 30 stocks. The index is price return and denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GG.Z,EISTX EQ.IND.ESG 30 NR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The index is designed to represent equity indices with an environmental, social, and governance (ESG) profile. It consists of 30 stocks. The index is net return and denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GH.Z,EISTX EQ.IND.ESG 30 GR DL,,ZRH,Unclassified / multiple providers,Unspecified / mixed,Equities,Equities,"The index is designed to represent equity indices with an environmental, social, and governance (ESG) profile. It consists of 30 stocks. The index is gross return and denominated in USD.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GJ.Z,EU.ISTX 50 CARB.ADA.PR DL,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,The EU.ISTX 50 CARB.ADA.PR DL Index aims to track the performance of Euro Stoxx 50 companies with an adjustment based on their carbon emissions. The index uses a carbon emissions intensity score to adjust the weights of the constituents within the Euro Stoxx 50. The index is price return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GK.Z,EU.ISTX 50 CARB.ADA.NR DL,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,The EU.ISTX 50 CARB.ADA.NR DL Index aims to track the performance of Euro Stoxx 50 companies with an adjustment based on their carbon emissions. The index uses a carbon emissions intensity score to adjust the weights of the constituents within the Euro Stoxx 50. The index is net return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GL.Z,EU.ISTX 50 CARB.ADA.GR DL,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,The EU.ISTX 50 CARB.ADA.GR DL Index aims to track the performance of Euro Stoxx 50 companies with an adjustment based on their carbon emissions. The index uses a carbon emissions intensity score to adjust the weights of the constituents within the Euro Stoxx 50. The index is gross return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GM.Z,EU.ISTX 50 CARB.ADA.PR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,The EU.ISTX 50 CARB.ADA.PR EO Index aims to track the performance of Euro Stoxx 50 companies with an adjustment based on their carbon emissions. The index uses a carbon emissions intensity score to adjust the weights of the constituents within the Euro Stoxx 50. The index is price return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GN.Z,EU.ISTX 50 CARB.ADA.NR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,The EU.ISTX 50 CARB.ADA.NR EO Index aims to track the performance of Euro Stoxx 50 companies with an adjustment based on their carbon emissions. The index uses a carbon emissions intensity score to adjust the weights of the constituents within the Euro Stoxx 50. The index is net return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GP.Z,EU.ISTX 50 CARB.ADA.GR EO,,ZRH,Unclassified / multiple providers,Europe,Equities,Equities,The EU.ISTX 50 CARB.ADA.GR EO Index aims to track the performance of Euro Stoxx 50 companies with an adjustment based on their carbon emissions. The index uses a carbon emissions intensity score to adjust the weights of the constituents within the Euro Stoxx 50. The index is gross return.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GQ.Z,CH0492933707,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GR.Z,ISTX GL.RE.WA.M.S30 NR DL,,ZRH,Unclassified / multiple providers,Global,Real Estate,REITs,"The ISTX GL.RE.WA.M.S30 NR DL Index is designed to represent the performance of 30 of the largest and most liquid Real Estate companies worldwide, selected according to free-float market capitalization. Companies are weighted according to free-float market capitalization with a 10% cap. The index is net return.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GS.Z,ISTX GL.RE.WA.M.S30 GR DL,,ZRH,Unclassified / multiple providers,Global,Real Estate,REITs,"The ISTX GL.RE.WA.M.S30 GR DL Index is designed to represent the performance of 30 of the largest and most liquid Real Estate companies worldwide, selected according to free-float market capitalization. Companies are weighted according to free-float market capitalization with a 10% cap. The index is gross return.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GT.Z,ISTX GL.RE.WA.M.S30 PR EO,,ZRH,Unclassified / multiple providers,Global,Real Estate,REITs,"The ISTX GL.RE.WA.M.S30 PR EO Index is designed to represent the performance of 30 of the largest and most liquid Real Estate companies worldwide, selected according to free-float market capitalization. Companies are weighted according to free-float market capitalization with a 10% cap. The index is price return.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GU.Z,ISTX GL.RE.WA.M.S30 NR EO,,ZRH,Unclassified / multiple providers,Global,Real Estate,REITs,"The ISTX GL.RE.WA.M.S30 NR EO Index is designed to represent the performance of 30 of the largest and most liquid Real Estate companies worldwide, selected according to free-float market capitalization. Companies are weighted according to free-float market capitalization with a 10% cap. The index is net return.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GV.Z,ISTX GL.RE.WA.M.S30 GR EO,,ZRH,Unclassified / multiple providers,Global,Real Estate,REITs,"The ISTX GL.RE.WA.M.S30 GR EO Index is designed to represent the performance of 30 of the largest and most liquid Real Estate companies worldwide, selected according to free-float market capitalization. Companies are weighted according to free-float market capitalization with a 10% cap. The index is gross return.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01GW.Z,ISTX GL.RE.WA.M.S30 PR DL,,ZRH,Unclassified / multiple providers,Global,Real Estate,REITs,"The ISTX GL.RE.WA.M.S30 PR DL Index is designed to represent the performance of 30 of the largest and most liquid Real Estate companies worldwide, selected according to free-float market capitalization. Companies are weighted according to free-float market capitalization with a 10% cap. The index is price return.",Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01O4.Z,STOXX GLOB.N.GE.TE.NR EUR,,ZRH,STOXX,Global,Equities,Technology,The index aims to represent the performance of global companies involved in Next Generation Technologies. The index is net return and denominated in EUR.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01O5.Z,STOXX GLOB.N.GE.TE.GR EUR,,ZRH,STOXX,Global,Equities,Technology,The index aims to represent the performance of global companies involved in Next Generation Technologies. The index is gross return and denominated in EUR.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01O6.Z,STOXX GLOB.N.GE.TE.NR USD,,ZRH,STOXX,Global,Equities,Technology,The index aims to represent the performance of global companies involved in Next Generation Technologies. The index is net return and denominated in USD.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01O7.Z,STOXX GLOB.N.GE.TE.GR USD,,ZRH,STOXX,Global,Equities,Technology,The index aims to represent the performance of global companies involved in Next Generation Technologies. The index is gross return and denominated in USD.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01O8.Z,STOXX GLOB.N.GE.TE.PR EUR,,ZRH,STOXX,Global,Equities,Technology,The index aims to represent the performance of global companies involved in Next Generation Technologies. The index is price return and denominated in EUR.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01O9.Z,STOXX GLOB.N.GE.TE.PR USD,,ZRH,STOXX,Global,Equities,Technology,The index aims to represent the performance of global companies involved in Next Generation Technologies. The index is price return and denominated in USD.,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01OM.Z,CH0500515728,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01ON.Z,CH0500515710,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
01OP.Z,CH0500515678,,ZRH,Unclassified / multiple providers,Unspecified / mixed,,,,Equity-linked index (filtered from broader global index universe),JerBouma/FinanceDatabase indices.csv snapshot,https://github.com/JerBouma/FinanceDatabase/blob/main/database/indices.csv
